Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Resistance","Tolerance","Power (Watts)","Composition","Features","Temperature Coefficient","Operating Temperature","Package / Case","Ratings","Supplier Device Package","Size / Dimension","Height - Seated (Max)","Number of Terminations","Failure Rate"
"https://www.vishay.com/docs/20043/crcwhpe3.pdf","//media.digikey.com/Photos/Vishay%20Dale%20Photos/MFG_CRCW-HP_e3_Series.jpg","541-1.00DTR-ND,541-1.00DCT-ND,541-1.00DDKR-ND","CRCW12101R00FKEAHP","Vishay Dale","Vishay Dale","RES SMD 1 OHM 1% 3/4W 1210","7,208","0.67","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CRCW-HP","Active","1 Ohms","±1%","0.75W, 3/4W","Thick Film","Automotive AEC-Q200, Pulse Withstanding","±100ppm/°C","-55°C ~ 155°C","1210 (3225 Metric)","AEC-Q200","1210","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.028"" (0.70mm)","2","-"
"https://www.vishay.com/docs/20043/crcwhpe3.pdf","//media.digikey.com/Photos/Vishay%20Dale%20Photos/MFG_CRCW-HP_e3_Series.jpg","CRCW12101R02FKEAHP-ND","CRCW12101R02FKEAHP","Vishay Dale","Vishay Dale","RES SMD 1.02 OHM 1% 3/4W 1210","0","0.20691","0","5000","Tape & Reel (TR)","CRCW-HP","Active","1.02 Ohms","±1%","0.75W, 3/4W","Thick Film","Automotive AEC-Q200, Pulse Withstanding","±100ppm/°C","-55°C ~ 155°C","1210 (3225 Metric)","AEC-Q200","1210","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.028"" (0.70mm)","2","-"
"https://www.vishay.com/docs/20043/crcwhpe3.pdf","//media.digikey.com/Photos/Vishay%20Dale%20Photos/MFG_CRCW-HP_e3_Series.jpg","CRCW12101R05FKEAHP-ND","CRCW12101R05FKEAHP","Vishay Dale","Vishay Dale","RES SMD 1.05 OHM 1% 3/4W 1210","0","0.20691","0","5000","Tape & Reel (TR)","CRCW-HP","Active","1.05 Ohms","±1%","0.75W, 3/4W","Thick Film","Automotive AEC-Q200, Pulse Withstanding","±100ppm/°C","-55°C ~ 155°C","1210 (3225 Metric)","AEC-Q200","1210","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.028"" (0.70mm)","2","-"
"https://www.vishay.com/docs/20043/crcwhpe3.pdf","//media.digikey.com/Photos/Vishay%20Dale%20Photos/MFG_CRCW-HP_e3_Series.jpg","CRCW12101R07FKEAHP-ND","CRCW12101R07FKEAHP","Vishay Dale","Vishay Dale","RES SMD 1.07 OHM 1% 3/4W 1210","0","0.20691","0","5000","Tape & Reel (TR)","CRCW-HP","Active","1.07 Ohms","±1%","0.75W, 3/4W","Thick Film","Automotive AEC-Q200, Pulse Withstanding","±100ppm/°C","-55°C ~ 155°C","1210 (3225 Metric)","AEC-Q200","1210","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.028"" (0.70mm)","2","-"
"https://www.vishay.com/docs/20043/crcwhpe3.pdf","//media.digikey.com/Photos/Vishay%20Dale%20Photos/MFG_CRCW-HP_e3_Series.jpg","CRCW12101R10FKEAHP-ND","CRCW12101R10FKEAHP","Vishay Dale","Vishay Dale","RES SMD 1.1 OHM 1% 3/4W 1210","0","0.20691","0","5000","Tape & Reel (TR)","CRCW-HP","Active","1.1 Ohms","±1%","0.75W, 3/4W","Thick Film","Automotive AEC-Q200, Pulse Withstanding","±100ppm/°C","-55°C ~ 155°C","1210 (3225 Metric)","AEC-Q200","1210","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.028"" (0.70mm)","2","-"
"https://www.vishay.com/docs/20043/crcwhpe3.pdf","//media.digikey.com/Photos/Vishay%20Dale%20Photos/MFG_CRCW-HP_e3_Series.jpg","CRCW12101R13FKEAHP-ND","CRCW12101R13FKEAHP","Vishay Dale","Vishay Dale","RES SMD 1.13 OHM 1% 3/4W 1210","0","0.15122","0","5000","Tape & Reel (TR)","CRCW-HP","Active","1.13 Ohms","±1%","0.75W, 3/4W","Thick Film","Automotive AEC-Q200, Pulse Withstanding","±100ppm/°C","-55°C ~ 155°C","1210 (3225 Metric)","AEC-Q200","1210","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.028"" (0.70mm)","2","-"
"https://www.vishay.com/docs/20043/crcwhpe3.pdf","//media.digikey.com/Photos/Vishay%20Dale%20Photos/MFG_CRCW-HP_e3_Series.jpg","CRCW12101R15FKEAHP-ND","CRCW12101R15FKEAHP","Vishay Dale","Vishay Dale","RES SMD 1.15 OHM 1% 3/4W 1210","0","0.15122","0","5000","Tape & Reel (TR)","CRCW-HP","Active","1.15 Ohms","±1%","0.75W, 3/4W","Thick Film","Automotive AEC-Q200, Pulse Withstanding","±100ppm/°C","-55°C ~ 155°C","1210 (3225 Metric)","AEC-Q200","1210","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.028"" (0.70mm)","2","-"
"https://www.vishay.com/docs/20043/crcwhpe3.pdf","//media.digikey.com/Photos/Vishay%20Dale%20Photos/MFG_CRCW-HP_e3_Series.jpg","CRCW12101R18FKEAHP-ND","CRCW12101R18FKEAHP","Vishay Dale","Vishay Dale","RES SMD 1.18 OHM 1% 3/4W 1210","0","0.15122","0","5000","Tape & Reel (TR)","CRCW-HP","Active","1.18 Ohms","±1%","0.75W, 3/4W","Thick Film","Automotive AEC-Q200, Pulse Withstanding","±100ppm/°C","-55°C ~ 155°C","1210 (3225 Metric)","AEC-Q200","1210","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.028"" (0.70mm)","2","-"
"https://www.vishay.com/docs/20043/crcwhpe3.pdf","//media.digikey.com/Photos/Vishay%20Dale%20Photos/MFG_CRCW-HP_e3_Series.jpg","541-1.20DTR-ND,541-1.20DCT-ND,541-1.20DDKR-ND","CRCW12101R20FKEAHP","Vishay Dale","Vishay Dale","RES SMD 1.2 OHM 1% 3/4W 1210","0","0.67","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CRCW-HP","Active","1.2 Ohms","±1%","0.75W, 3/4W","Thick Film","Automotive AEC-Q200, Pulse Withstanding","±100ppm/°C","-55°C ~ 155°C","1210 (3225 Metric)","AEC-Q200","1210","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.028"" (0.70mm)","2","-"
"https://www.vishay.com/docs/20043/crcwhpe3.pdf","//media.digikey.com/Photos/Vishay%20Dale%20Photos/MFG_CRCW-HP_e3_Series.jpg","CRCW12101R21FKEAHP-ND","CRCW12101R21FKEAHP","Vishay Dale","Vishay Dale","RES SMD 1.21 OHM 1% 3/4W 1210","0","0.20691","0","5000","Tape & Reel (TR)","CRCW-HP","Active","1.21 Ohms","±1%","0.75W, 3/4W","Thick Film","Automotive AEC-Q200, Pulse Withstanding","±100ppm/°C","-55°C ~ 155°C","1210 (3225 Metric)","AEC-Q200","1210","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.028"" (0.70mm)","2","-"
